#lambda/nm	DC	C1
644.31	511.6	508.6
644.727	521.4	511.6
645.123	520.6	511.2
645.54	515	504
645.957	517	512.8
646.374	534	523
646.77	521	510.4
647.187	538.4	534
647.604	510.4	507.4
648.021	504.4	510.6
648.439	509.6	506.6
648.835	509.6	517
649.252	513.2	514.6
649.67	498.2	516.8
650.088	505	508.8
650.484	517.4	509.2
650.902	521	513.2
651.32	518	522.8
651.738	508.6	512.4
652.134	516.6	503.8
652.552	526.2	520.4
652.971	521.6	516.8
653.389	508.2	513.8
653.786	520.4	515.4
654.204	516.4	519.2
654.622	502.4	508.4
655.019	509.6	513.8
655.438	520.4	508.6
655.857	512.8	511.2
656.275	522	515
656.673	503.6	504.6
657.091	521.2	511.2
657.51	507.6	498.4
657.908	524.6	514
658.327	522.2	520.2
658.746	499.2	496.6
659.144	510.8	511
659.563	522	508.4
659.982	509.8	514.8
660.38	503.8	501.2
660.8	515	506
661.219	518.6	519.2
661.617	518	512
662.037	512.2	504.6
662.457	522.4	516.6
662.855	493.8	496.8
663.275	536.6	529.8
663.695	508.4	502.8
664.094	507	507.4
664.514	518.6	507.4
664.934	503.4	507.6
665.333	513.6	513.2
665.753	505	508.2
666.152	509.6	500
666.572	502.2	497.6
666.993	519.6	514
667.392	505.6	500.4
667.812	510.6	500.4
668.212	508.2	501.2
668.632	524	514.8
669.053	501	496.4
669.453	522.4	503.6
669.874	511.8	509
670.273	512	509.8
670.694	503	500.2
671.116	521.8	515.2
671.515	515.8	503.6
671.937	511.2	497.2
672.337	495.6	511
672.758	507.6	505.2
673.158	513.2	507.4
673.58	507	499.6
673.98	505.8	505.8
674.402	523	516.2
674.824	513	504.6
675.224	503.4	501.2
675.646	510.4	496
676.047	507.4	503.2
676.469	503.2	500.8
676.869	513	500.8
677.292	509.8	508
677.693	503.6	493.6
678.115	502.6	501.2
678.516	516.8	507.8
678.939	519.8	505.6
679.34	508	503
679.762	518.2	515
680.164	513.4	508.4
680.586	505.6	499.8
680.988	516.2	507.4
681.411	524.4	523.6
681.812	510.2	506.4
682.236	501	491
682.637	502	504.6
683.061	500.4	496.6
683.462	502.4	512.4
683.864	504.4	499.8
684.288	504	506.8
684.69	501.8	497.4
685.114	517.8	514.8
685.516	517.6	509
685.94	504	495.4
686.342	516.2	502.6
686.766	508.4	502.4
687.168	504.4	496.2
687.571	521.2	505.6
687.995	515	507
688.398	495.6	503.2
688.822	504.8	498.8
689.225	516.2	509.8
689.628	525.2	503.6
690.052	505	496.8
690.456	513.8	508.2
690.88	499.2	496.6
691.284	495.2	488
691.687	504.6	508.8
692.112	496.6	498.2
692.515	498.4	497.8
692.919	503	504.8
693.344	513	499
693.747	504.4	495.4
694.173	499.2	493.4
694.577	514.6	505.4
694.98	501.2	494.4
695.406	508	496.2
695.81	503.8	501.6
696.214	506.6	504
696.64	499.4	502.6
697.044	505.2	507.8
697.448	513.2	506
697.874	497.6	503.2
698.279	503.2	500.2
698.684	499.2	490.8
699.11	499.8	497.6
699.514	503.4	494.8
699.919	506.2	490.2
700.324	495.8	493.2
700.75	509.4	505.2
701.156	498	498.6
701.561	513	515.2
701.987	507.4	505.2
702.393	518.6	504.8
702.798	516.2	510.4
703.203	511.2	494.6
